42
startfreqHz  stopfreqHz   stepfreqHz
50000000.0    1350000000.0  50000000.0
1350000000.0  1366250000.0  16250000.0
1366250000.0  1366250000.1   0.1
1366250000.1  1366250000.1  0.0
1416250000    2566250000.0  50000000.0
2566250000.0  2600000000.0  33750000.0
2600000000.0  2600000000.1  0.1
2600000000.1  2600000000.1  0.0
2650000000.0  7500000000.0  50000000.0
7500000000.0  7500000000.1  0.1
7500000000.1  7500000000.1  0.0
7550000000.0  9500000000.0  50000000.0
9500000000.0  9500000000.1  0.1
9500000000.1  9500000000.1  0.0
9550000000.0  12300000000.0  50000000.0
12300000000.0  12300000000.1  0.1
12300000000.1  12300000000.1  0.0
12350000000.0   15700000000.0  50000000.0
15700000000.0  15700000000.1   0.1
15700000000.1   15700000000.1  0.0 
15750000000.0   16300000000.0  50000000.0
16300000000.0  16300000000.1   0.1
16300000000.1   16300000000.1  0.0 
16350000000.0   19500000000.0  50000000.0
19500000000.0  19500000000.1    0.1
19500000000.1    19500000000.1   0.0   
19550000000.0   23600000000.0  50000000.0
23600000000.0  23633750000.0  33750000.0
23633750000.1  23633750000.1   0.0   
23683750000.0   26484000000.0  50000000.0
26484000000.0  26500000000.0  16000000.0
26500000000.0  26500000000.1   0.1
26500000000.1   26500000000.1   0.0  
26550000000.0    27800000000.0   50000000.0
27800000000.0   27833750000.0  33750000.0
27833750000.0  27833750000.1   0.1
27833750000.1   27833750000.1  0.0  
27883750000.0   29483750000.0   50000000.0
29483750000.0   29500000000.0  16250000.0
29500000000.0  29500000000.1   0.1
29500000000.1   29500000000.1   0.0  
29550000000.0   32000000000.0  50000000.0
