19
startfreqHz  stopfreqHz   stepfreqHz
50000000.0  1350000000.0  50000000.0
1350000000.0  1366250000.0  16250000.0
1366250000.0  2566300000.0 50000000.0
2566300000.0 2600000000.0  33700000.0
2600000000.0  7500000000.0  50000000.0
7500000000.0  9500000000.0  50000000.0
9500000000.0  12300000000.0  50000000.0
12300000000.0   15700000000.0  50000000.0
15700000000.0   16300000000.0  50000000.0
16300000000.0   19500000000.0  50000000.0
19500000000.0   23600000000.0  50000000.0
23600000000.0  23633750000.0  33750000.0
23633750000.0   26484000000.0  50000000.0
26484000000.0  26500000000.0  16000000.0
26500000000.0    27800000000.0   50000000.0
27800000000.0   27833750000.0  33750000.0
27833750000.0   29484000000.0 50000000.0
29484000000.0   29500000000.0  16000000.0 
29500000000.0   32000000000.0  50000000.0
