No. freqHz  powerdB
0    50000000    9.88
1    100000000    9.87
2    150000000    9.89
3    200000000    9.89
4    250000000    9.92
5    300000000    9.92
6    350000000    9.90
7    400000000    9.91
8    450000000    9.91
9    500000000    9.93
10    550000000    9.94
11    600000000    9.97
12    650000000    10.00
13    700000000    10.00
14    750000000    10.00
15    800000000    10.00
16    850000000    10.05
17    900000000    10.10
18    950000000    10.10
19    1000000000    10.14
20    1050000000    10.08
21    1100000000    10.00
22    1150000000    9.91
23    1200000000    9.90
24    1250000000    9.95
25    1300000000    10.00
26    1350000000    10.00
27    1366250000    10.00
28    1366250000    10.00
29    1416250000    10.07
30    1466250000    10.00
31    1516250000    10.07
32    1566250000    10.03
33    1616250000    10.00
34    1666250000    10.05
35    1716250000    10.00
36    1766250000    10.03
37    1816250000    10.07
38    1866250000    10.00
39    1916250000    9.96
40    1966250000    10.00
41    2016250000    9.93
42    2066250000    9.93
43    2116250000    9.93
44    2166250000    9.93
45    2216250000    9.94
46    2266250000    9.93
47    2316250000    9.93
48    2366250000    9.95
49    2416250000    9.95
50    2466250000    9.94
51    2516250000    9.93
52    2566250000    9.92
53    2600000000    9.94
54    2600000000    9.94
55    2650000000    9.94
56    2700000000    9.93
57    2750000000    9.92
58    2800000000    9.93
59    2850000000    9.94
60    2900000000    9.94
61    2950000000    9.93
62    3000000000    9.94
63    3050000000    9.92
64    3100000000    9.95
65    3150000000    9.94
66    3200000000    9.93
67    3250000000    9.93
68    3300000000    9.95
69    3350000000    9.94
70    3400000000    9.95
71    3450000000    9.94
72    3500000000    9.92
73    3550000000    9.94
74    3600000000    9.95
75    3650000000    9.95
76    3700000000    9.95
77    3750000000    9.94
78    3800000000    9.93
79    3850000000    9.95
80    3900000000    9.95
81    3950000000    9.94
82    4000000000    9.93
83    4050000000    9.94
84    4100000000    9.94
85    4150000000    9.94
86    4200000000    9.94
87    4250000000    9.94
88    4300000000    9.93
89    4350000000    9.94
90    4400000000    9.94
91    4450000000    9.94
92    4500000000    9.94
93    4550000000    9.94
94    4600000000    9.93
95    4650000000    9.94
96    4700000000    9.93
97    4750000000    9.94
98    4800000000    9.95
99    4850000000    9.95
100    4900000000    9.94
101    4950000000    9.94
