No. freqHz  powerdB
0    50000000.0    10.00
1    100000000.0    10.00
2    150000000.0    10.04
3    200000000.0    10.04
4    250000000.0    10.07
5    300000000.0    10.07
6    350000000.0    10.05
7    400000000.0    10.07
8    450000000.0    10.06
9    500000000.0    10.08
10    550000000.0    10.09
11    600000000.0    10.11
12    650000000.0    10.13
13    700000000.0    10.14
14    750000000.0    10.17
15    800000000.0    10.18
16    850000000.0    10.21
17    900000000.0    10.23
18    950000000.0    10.25
19    1000000000.0    10.28
20    1050000000.0    10.28
21    1100000000.0    10.27
22    1150000000.0    10.24
23    1200000000.0    10.23
24    1250000000.0    10.24
25    1300000000.0    10.27
26    1350000000.0    10.24
27    1366250000.0    10.27
28    1366250000.1    10.27
29    1416250000.0    10.32
30    1466250000.0    10.25
31    1516250000.0    10.32
32    1566250000.0    10.26
33    1616250000.0    10.27
34    1666250000.0    10.29
35    1716250000.0    10.23
36    1766250000.0    10.24
37    1816250000.0    10.28
38    1866250000.0    10.22
39    1916250000.0    10.16
40    1966250000.0    10.19
41    2016250000.0    10.11
42    2066250000.0    10.11
43    2116250000.0    10.11
44    2166250000.0    10.10
45    2216250000.0    10.10
46    2266250000.0    10.09
47    2316250000.0    10.09
48    2366250000.0    10.09
49    2416250000.0    10.08
50    2466250000.0    10.08
51    2516250000.0    10.08
52    2566250000.0    10.07
53    2600000000.0    10.06
54    2600000000.1    10.06
55    2650000000.0    10.06
56    2700000000.0    10.06
57    2750000000.0    10.07
58    2800000000.0    10.07
59    2850000000.0    10.05
60    2900000000.0    10.05
61    2950000000.0    10.06
62    3000000000.0    10.06
63    3050000000.0    10.05
64    3100000000.0    10.05
65    3150000000.0    10.05
66    3200000000.0    10.05
67    3250000000.0    10.05
68    3300000000.0    10.06
69    3350000000.0    10.05
70    3400000000.0    10.04
71    3450000000.0    10.04
72    3500000000.0    10.04
73    3550000000.0    10.05
74    3600000000.0    10.05
75    3650000000.0    10.05
76    3700000000.0    10.04
77    3750000000.0    10.04
78    3800000000.0    10.04
79    3850000000.0    10.05
80    3900000000.0    10.05
81    3950000000.0    10.04
82    4000000000.0    10.03
83    4133750000.0    10.04
84    4133750000.1    10.04
85    4183750000.0    10.00
86    4233750000.0    10.03
87    4283750000.0    10.03
88    4333750000.0    10.03
89    4383750000.0    10.00
90    4433750000.0    10.00
91    4483750000.0    10.00
92    4533750000.0    10.00
93    4583750000.0    10.00
94    4633750000.0    10.03
95    4683750000.0    10.00
96    4733750000.0    10.00
97    4783750000.0    10.00
98    4833750000.0    10.00
99    4883750000.0    10.04
100    4933750000.0    10.04
101    4983750000.0    10.00
102    5033750000.0    10.00
103    5083750000.0    10.00
104    5133750000.0    10.00
105    5183750000.0    10.00
106    5233750000.0    10.00
107    5283750000.0    10.00
108    5333750000.0    10.00
109    5383750000.0    10.00
110    5433750000.0    10.03
111    5483750000.0    10.00
112    5533750000.0    10.00
113    5583750000.0    10.00
114    5633750000.0    10.00
115    5683750000.0    10.00
116    5733750000.0    10.00
117    5783750000.0    10.00
118    5833750000.0    10.00
119    5883750000.0    10.00
120    5933750000.0    10.00
121    5983750000.0    10.00
122    6033750000.0    10.00
123    6083750000.0    10.00
124    6133750000.0    10.00
125    6183750000.0    10.00
126    6233750000.0    10.00
127    6283750000.0    10.00
128    6333750000.0    10.00
129    6383750000.0    10.00
130    6433750000.0    10.00
131    6483750000.0    10.00
132    6533750000.0    10.00
133    6583750000.0    10.00
134    6633750000.0    10.00
135    6683750000.0    10.00
136    6733750000.0    10.00
137    6783750000.0    10.00
138    6833750000.0    10.00
139    6883750000.0    10.00
140    6933750000.0    10.00
141    6983750000.0    10.00
142    7033750000.0    10.00
143    7083750000.0    10.00
144    7133750000.0    10.00
145    7183750000.0    9.96
