No. freqHz  powerdB
0    50000000.0    6.08
1    100000000.0    6.08
2    150000000.0    6.18
3    200000000.0    6.18
4    250000000.0    6.26
5    300000000.0    6.26
6    350000000.0    6.26
7    400000000.0    6.26
8    450000000.0    6.36
9    500000000.0    6.36
10    550000000.0    6.36
11    600000000.0    6.36
12    650000000.0    6.44
13    700000000.0    6.52
14    750000000.0    6.52
15    800000000.0    6.52
16    850000000.0    6.52
17    900000000.0    6.52
18    950000000.0    6.61
19    1000000000.0    6.61
20    1050000000.0    6.61
21    1100000000.0    6.61
22    1150000000.0    6.61
23    1200000000.0    6.50
24    1250000000.0    6.50
25    1300000000.0    6.62
26    1350000000.0    6.62
27    1366250000.0    6.62
28    1366250000.1    6.62
29    1416250000.0    6.76
30    1466250000.0    6.58
31    1516250000.0    6.81
32    1566250000.0    6.67
33    1616250000.0    6.67
34    1666250000.0    6.75
35    1716250000.0    6.66
36    1766250000.0    6.84
37    1816250000.0    6.75
38    1866250000.0    6.68
39    1916250000.0    6.68
40    1966250000.0    6.75
41    2016250000.0    6.63
42    2066250000.0    6.63
43    2116250000.0    6.63
44    2166250000.0    6.73
45    2216250000.0    6.73
46    2266250000.0    6.73
47    2316250000.0    6.73
48    2366250000.0    6.73
49    2416250000.0    6.73
50    2466250000.0    6.83
51    2516250000.0    6.75
52    2566250000.0    6.75
53    2600000000.0    6.82
54    2600000000.1    6.82
55    2650000000.0    6.71
56    2700000000.0    6.71
57    2750000000.0    6.80
58    2800000000.0    6.80
59    2850000000.0    6.80
60    2900000000.0    6.80
61    2950000000.0    6.80
62    3000000000.0    6.80
63    3050000000.0    6.80
64    3100000000.0    6.80
65    3150000000.0    6.91
66    3200000000.0    7.01
67    3250000000.0    6.93
68    3300000000.0    6.93
69    3350000000.0    6.83
70    3400000000.0    6.83
71    3450000000.0    6.83
72    3500000000.0    7.12
73    3550000000.0    6.98
74    3600000000.0    6.92
75    3650000000.0    6.92
76    3700000000.0    6.85
77    3750000000.0    6.85
78    3800000000.0    6.85
79    3850000000.0    6.92
80    3900000000.0    6.92
81    3950000000.0    7.14
82    4000000000.0    6.94
83    4133750000.0    6.94
84    4133750000.1    6.94
85    4183750000.0    6.94
86    4233750000.0    7.07
87    4283750000.0    7.07
88    4333750000.0    7.13
89    4383750000.0    7.13
90    4433750000.0    7.00
91    4483750000.0    7.00
92    4533750000.0    7.00
93    4583750000.0    7.00
94    4633750000.0    7.00
95    4683750000.0    7.12
96    4733750000.0    7.12
97    4783750000.0    7.00
98    4833750000.0    7.00
99    4883750000.0    7.16
100    4933750000.0    7.30
101    4983750000.0    7.30
102    5033750000.0    7.42
103    5083750000.0    7.15
104    5133750000.0    7.15
105    5183750000.0    7.06
106    5233750000.0    7.06
107    5283750000.0    7.06
108    5333750000.0    7.06
109    5383750000.0    7.06
110    5433750000.0    7.12
111    5483750000.0    7.05
112    5533750000.0    7.05
113    5583750000.0    7.05
114    5633750000.0    7.20
115    5683750000.0    7.28
116    5733750000.0    7.28
117    5783750000.0    7.35
118    5833750000.0    7.23
119    5883750000.0    7.15
120    5933750000.0    7.15
121    5983750000.0    7.08
122    6033750000.0    7.08
123    6083750000.0    7.08
124    6133750000.0    7.08
125    6183750000.0    7.08
126    6233750000.0    7.14
127    6283750000.0    7.20
128    6333750000.0    7.20
129    6383750000.0    7.13
130    6433750000.0    7.13
131    6483750000.0    7.24
132    6533750000.0    7.16
133    6583750000.0    7.16
134    6633750000.0    7.28
135    6683750000.0    7.41
136    6733750000.0    7.41
137    6783750000.0    7.33
138    6833750000.0    7.16
139    6883750000.0    7.16
140    6933750000.0    7.16
141    6983750000.0    7.22
142    7033750000.0    7.37
143    7083750000.0    7.24
144    7133750000.0    7.33
145    7183750000.0    7.33
146    7233750000.0    7.41
147    7283750000.0    7.41
148    7333750000.0    7.58
149    7383750000.0    7.93
150    7433750000.0    8.10
151    7483750000.0    8.99
152    7500000000.0    9.12
153    7500000000.1    9.12
154    7550000000.0    8.76
155    7600000000.0    8.25
156    7650000000.0    7.95
157    7700000000.0    7.60
158    7750000000.0    7.67
159    7800000000.0    7.41
160    7850000000.0    7.41
161    7900000000.0    7.41
162    7950000000.0    7.29
163    8000000000.0    7.29
164    8050000000.0    7.29
165    8100000000.0    7.45
166    8150000000.0    7.45
167    8200000000.0    7.45
168    8250000000.0    7.53
169    8300000000.0    7.39
170    8350000000.0    7.28
171    8400000000.0    7.46
172    8450000000.0    7.36
173    8500000000.0    7.58
174    8550000000.0    7.50
175    8600000000.0    7.50
176    8650000000.0    7.33
177    8700000000.0    7.33
178    8750000000.0    7.33
179    8800000000.0    7.33
180    8850000000.0    7.33
181    8900000000.0    7.57
182    8950000000.0    7.41
183    9000000000.0    7.48
184    9050000000.0    7.31
185    9100000000.0    7.38
186    9150000000.0    7.50
187    9200000000.0    7.81
188    9250000000.0    7.67
189    9300000000.0    7.85
190    9350000000.0    7.37
191    9400000000.0    7.37
192    9450000000.0    7.37
193    9500000000.0    7.37
194    9500000000.1    7.37
195    9550000000.0    7.37
196    9600000000.0    7.50
197    9650000000.0    7.50
198    9700000000.0    7.44
199    9750000000.0    7.44
200    9800000000.0    7.44
201    9850000000.0    7.67
202    9900000000.0    7.67
203    9950000000.0    7.67
204    10000000000.0    7.47
205    10050000000.0    7.47
206    10100000000.0    7.62
207    10150000000.0    7.53
208    10200000000.0    7.53
209    10250000000.0    7.53
210    10300000000.0    7.68
211    10350000000.0    7.53
212    10400000000.0    7.53
213    10450000000.0    7.53
214    10500000000.0    7.53
215    10550000000.0    7.71
216    10600000000.0    7.50
217    10650000000.0    7.50
218    10700000000.0    7.50
219    10750000000.0    7.50
220    10800000000.0    7.57
221    10850000000.0    7.57
222    10900000000.0    7.57
223    10950000000.0    7.57
224    11000000000.0    7.76
225    11050000000.0    7.57
226    11100000000.0    7.75
227    11150000000.0    7.53
228    11200000000.0    7.73
229    11250000000.0    7.51
230    11300000000.0    7.51
231    11350000000.0    7.51
232    11400000000.0    7.51
233    11450000000.0    7.51
234    11500000000.0    7.66
235    11500000000.1    7.66
236    11550000000.0    7.66
237    11600000000.0    7.75
238    11650000000.0    7.75
239    11700000000.0    7.82
240    11750000000.0    7.55
241    11800000000.0    7.55
242    11850000000.0    7.55
243    11900000000.0    7.65
244    11950000000.0    7.78
245    12000000000.0    7.68
246    12050000000.0    7.74
247    12100000000.0    7.58
248    12150000000.0    7.69
249    12200000000.0    7.69
250    12250000000.0    7.95
251    12300000000.0    7.73
252    12350000000.0    7.97
253    12400000000.0    7.89
254    12450000000.0    7.68
255    12500000000.0    7.68
256    12550000000.0    7.68
257    12600000000.0    7.68
258    12650000000.0    7.78
259    12700000000.0    7.78
260    12750000000.0    7.78
261    12800000000.0    7.71
262    12850000000.0    7.71
263    12900000000.0    7.71
264    12950000000.0    7.71
265    13000000000.0    7.92
266    13050000000.0    8.38
267    13100000000.0    8.02
268    13150000000.0    8.13
269    13200000000.0    7.78
270    13250000000.0    7.66
271    13300000000.0    7.90
272    13350000000.0    7.90
273    13400000000.0    7.68
274    13450000000.0    7.74
275    13500000000.0    7.74
276    13500000000.1    7.74
277    13550000000.0    7.68
278    13600000000.0    7.90
279    13650000000.0    7.80
280    13700000000.0    7.68
281    13750000000.0    7.68
282    13800000000.0    7.93
283    13850000000.0    8.13
284    13900000000.0    8.25
285    13950000000.0    8.18
286    14000000000.0    7.90
287    14050000000.0    7.76
288    14100000000.0    7.76
289    14150000000.0    7.85
290    14200000000.0    7.85
291    14250000000.0    7.92
292    14300000000.0    7.92
293    14350000000.0    7.92
294    14400000000.0    7.76
295    14450000000.0    7.76
296    14500000000.0    7.76
297    14550000000.0    7.93
298    14600000000.0    8.03
299    14650000000.0    8.17
300    14700000000.0    8.23
301    14750000000.0    8.23
302    14800000000.0    8.14
303    14850000000.0    8.14
304    14900000000.0    8.14
305    14950000000.0    8.07
306    15000000000.0    8.34
307    15050000000.0    8.24
308    15100000000.0    8.38
309    15150000000.0    8.38
310    15200000000.0    7.94
311    15250000000.0    8.07
312    15300000000.0    8.22
313    15350000000.0    8.69
314    15400000000.0    8.52
315    15450000000.0    8.76
316    15500000000.0    8.34
317    15500000000.1    8.34
318    15550000000.0    8.41
