21
startfreqHz     stopfreqHz     stepfreqHz
50000000.0      1350000000.0   50000000.0
1350000000.0    1366250000.0   16250000.0
1366250000.0    1366250000.1   0.1
1366250000.1    1366250000.1   0.0
1416250000      2566250000.0   50000000.0
2566250000.0    2600000000.0   33750000.0
2600000000.0    2600000000.1   0.1
2600000000.1    2600000000.1   0.0
2650000000.0    7200000000.0   50000000.0
7200000000.0    7200000000.1   0.1
7200000000.1    7200000000.1   0.0
7250000000.0    9500000000.0   50000000.0
9500000000.0    9500000000.1   0.1
9500000000.1    9500000000.1   0.0
9550000000.0    11500000000.0  50000000.0
11500000000.0   11500000000.1  0.1
11500000000.1   11500000000.1  0.0
11550000000.0   13500000000.0  50000000.0
13500000000.0   13500000000.1  0.1
13500000000.1   13500000000.1  0.0
13550000000.0   15000000000.0  50000000.0
