42
startfreqHz     stopfreqHz     stepfreqHz
50000000.0      1350000000.0   50000000.0
1350000000.0    1366250000.0   16250000.0
1366250000.0    1366250000.1   0.1
1366250000.1    1366250000.1   0.0
1416250000      2766250000.0   50000000.0
2766250000.0    2800000000.0   33750000.0
2800000000.0    2800000000.1   0.1
2800000000.1    2800000000.1   0.0
2850000000.0    7200000000.0   50000000.0
7200000000.0    7200000000.1   0.1
7200000000.1    7200000000.1   0.0
7250000000.0    9500000000.0   50000000.0
9500000000.0    9500000000.1   0.1
9500000000.1    9500000000.1   0.0
9550000000.0    12000000000.0  50000000.0
12000000000.0   12000000000.1  0.1
12000000000.1   12000000000.1  0.0
12050000000.0   15000000000.0  50000000.0
15000000000.0   15000000000.1  0.1
15000000000.1   15000000000.1  0.0
15050000000.0   18000000000.0  50000000.0
18000000000.0   18000000000.1  0.1
18000000000.1   18000000000.1  0.0
18050000000.0   21000000000.0  50000000.0
21000000000.0   21000000000.1  0.1
21000000000.1   21000000000.1  0.0
21050000000.0   24500000000.0  50000000.0
24500000000.0   24500000000.1  0.1
24500000000.1   24500000000.1  0.0
24550000000.0   28000000000.0  50000000.0
28000000000.0   28000000000.1  0.1
28000000000.1   28000000000.1  0.0
28050000000.0   31500000000.0  50000000.0
31500000000.0   31500000000.1  0.1
31500000000.1   31500000000.1  0.0
31550000000.0   35000000000.0  50000000.0
35000000000.0   35000000000.1  0.1
35000000000.1   35000000000.1  0.0
35050000000.0   39000000000.0  50000000.0
39000000000.0   39000000000.1  0.1
39000000000.1   39000000000.1  0.0
39050000000.0   43000000000.0  50000000.0
