No. freqHz  powerdB
0    50000000.0    10.00
1    100000000.0    10.05
2    150000000.0    10.05
3    200000000.0    10.13
4    250000000.0    10.13
5    300000000.0    10.17
6    350000000.0    10.23
7    400000000.0    10.23
8    450000000.0    10.23
9    500000000.0    10.23
10    550000000.0    10.28
11    600000000.0    10.28
12    650000000.0    10.28
13    700000000.0    10.31
14    750000000.0    10.34
15    800000000.0    10.34
16    850000000.0    10.34
17    900000000.0    10.40
18    950000000.0    10.40
19    1000000000.0    10.40
20    1050000000.0    10.44
21    1100000000.0    10.44
22    1150000000.0    10.44
23    1200000000.0    10.51
24    1250000000.0    10.43
25    1300000000.0    10.49
26    1350000000.0    10.54
27    1366250000.0    10.54
28    1366250000.1    10.54
29    1416250000.0    10.41
30    1466250000.0    10.54
31    1516250000.0    10.54
32    1566250000.0    10.54
33    1616250000.0    10.41
34    1666250000.0    10.45
35    1716250000.0    10.34
36    1766250000.0    10.28
37    1816250000.0    10.34
38    1866250000.0    10.34
39    1916250000.0    10.34
40    1966250000.0    10.39
41    2016250000.0    10.45
42    2066250000.0    10.45
43    2116250000.0    10.45
44    2166250000.0    10.45
45    2216250000.0    10.45
46    2266250000.0    10.45
47    2316250000.0    10.45
48    2366250000.0    10.45
49    2416250000.0    10.45
50    2466250000.0    10.45
51    2516250000.0    10.45
52    2566250000.0    10.45
53    2600000000.0    10.45
54    2600000000.1    10.45
55    2650000000.0    10.45
56    2700000000.0    10.45
57    2750000000.0    10.45
58    2800000000.0    10.45
59    2850000000.0    10.45
60    2900000000.0    10.45
61    2950000000.0    10.45
62    3000000000.0    10.45
63    3050000000.0    10.45
64    3100000000.0    10.48
65    3150000000.0    10.48
66    3200000000.0    10.48
67    3250000000.0    10.80
68    3300000000.0    10.80
69    3350000000.0    10.80
70    3400000000.0    10.80
71    3450000000.0    10.80
72    3500000000.0    10.84
73    3550000000.0    10.84
74    3600000000.0    10.84
75    3650000000.0    10.84
76    3700000000.0    10.84
77    3750000000.0    10.84
78    3800000000.0    10.87
79    3850000000.0    10.87
80    3900000000.0    10.87
81    3950000000.0    10.87
82    4000000000.0    10.87
83    4050000000.0    10.87
84    4100000000.0    10.90
85    4150000000.0    10.90
86    4200000000.0    10.90
87    4250000000.0    10.90
88    4300000000.0    10.90
89    4350000000.0    10.90
90    4400000000.0    10.90
91    4450000000.0    10.90
92    4500000000.0    10.95
93    4550000000.0    10.95
94    4600000000.0    10.95
95    4650000000.0    10.95
96    4700000000.0    10.95
97    4750000000.0    10.95
98    4800000000.0    10.95
99    4850000000.0    10.95
100    4900000000.0    11.00
101    4950000000.0    11.00
102    5000000000.0    11.00
103    5050000000.0    11.00
104    5100000000.0    11.00
105    5150000000.0    11.00
106    5200000000.0    11.00
107    5250000000.0    11.00
108    5300000000.0    11.04
109    5350000000.0    11.00
110    5400000000.0    11.03
111    5450000000.0    11.03
112    5500000000.0    11.03
113    5550000000.0    11.03
114    5600000000.0    11.03
115    5650000000.0    11.03
116    5700000000.0    11.03
117    5750000000.0    11.03
118    5800000000.0    11.03
119    5850000000.0    11.03
120    5900000000.0    11.07
121    5950000000.0    11.07
122    6000000000.0    11.07
123    6050000000.0    11.07
124    6100000000.0    11.07
125    6150000000.0    11.07
126    6200000000.0    11.07
127    6250000000.0    11.07
128    6300000000.0    11.07
129    6350000000.0    11.07
130    6400000000.0    11.11
131    6450000000.0    11.11
132    6500000000.0    11.11
133    6550000000.0    11.11
134    6600000000.0    11.11
135    6650000000.0    11.11
136    6700000000.0    11.11
137    6750000000.0    11.11
138    6800000000.0    11.11
139    6850000000.0    11.11
140    6900000000.0    11.11
141    6950000000.0    11.11
142    7000000000.0    11.14
143    7050000000.0    11.14
144    7100000000.0    11.14
145    7150000000.0    11.14
146    7200000000.0    11.14
147    7200000000.1    11.14
148    7250000000.0    11.14
149    7300000000.0    11.14
150    7350000000.0    11.14
151    7400000000.0    11.14
152    7450000000.0    11.14
153    7500000000.0    11.14
154    7550000000.0    11.14
155    7600000000.0    11.14
156    7650000000.0    11.14
157    7700000000.0    11.18
158    7750000000.0    11.18
159    7800000000.0    11.18
160    7850000000.0    11.18
161    7900000000.0    11.18
162    7950000000.0    11.18
163    8000000000.0    11.18
164    8050000000.0    11.18
165    8100000000.0    11.18
166    8150000000.0    11.18
167    8200000000.0    11.18
168    8250000000.0    11.18
169    8300000000.0    11.18
170    8350000000.0    11.18
171    8400000000.0    11.18
172    8450000000.0    11.18
173    8500000000.0    11.23
174    8550000000.0    11.23
175    8600000000.0    11.23
176    8650000000.0    11.23
