No. freqHz  powerdB
0    50000000.0    10.03
1    100000000.0    10.03
2    150000000.0    10.09
3    200000000.0    10.09
4    250000000.0    10.14
5    300000000.0    10.14
6    350000000.0    10.17
7    400000000.0    10.17
8    450000000.0    10.17
9    500000000.0    10.20
10    550000000.0    10.20
11    600000000.0    10.20
12    650000000.0    10.28
13    700000000.0    10.28
14    750000000.0    10.38
15    800000000.0    10.32
16    850000000.0    10.46
17    900000000.0    10.31
18    950000000.0    10.39
19    1000000000.0    10.59
20    1050000000.0    10.59
21    1100000000.0    10.44
22    1150000000.0    10.51
23    1200000000.0    10.71
24    1250000000.0    10.51
25    1300000000.0    10.54
26    1350000000.0    10.58
27    1366250000.0    10.52
28    1366250000.1    10.52
29    1416250000.0    10.69
30    1466250000.0    10.60
31    1516250000.0    10.60
32    1566250000.0    10.55
33    1616250000.0    10.55
34    1666250000.0    10.82
35    1716250000.0    10.29
36    1766250000.0    10.46
37    1816250000.0    10.69
38    1866250000.0    10.45
39    1916250000.0    10.32
40    1966250000.0    10.43
41    2016250000.0    10.99
42    2066250000.0    11.02
43    2116250000.0    11.02
44    2166250000.0    11.02
45    2216250000.0    11.02
46    2266250000.0    11.06
47    2316250000.0    11.06
48    2366250000.0    11.06
49    2416250000.0    11.06
50    2466250000.0    11.06
51    2516250000.0    11.06
52    2566250000.0    11.10
53    2600000000.0    11.10
54    2600000000.1    11.10
55    2700000000.0    11.10
56    2800000000.0    11.10
57    2900000000.0    11.10
58    3000000000.0    11.13
59    3100000000.0    11.13
60    3200000000.0    11.13
61    3300000000.0    10.80
62    3400000000.0    10.80
63    3500000000.0    10.83
64    3600000000.0    10.83
65    3700000000.0    10.83
66    3800000000.0    10.83
67    3900000000.0    10.83
68    4000000000.0    10.83
69    4100000000.0    10.87
70    4200000000.0    10.91
71    4300000000.0    10.91
72    4400000000.0    10.91
73    4500000000.0    10.91
74    4600000000.0    10.95
75    4700000000.0    10.95
76    4800000000.0    10.95
77    4900000000.0    10.95
78    5000000000.0    10.95
79    5100000000.0    10.95
80    5200000000.0    10.98
81    5300000000.0    10.98
82    5400000000.0    10.98
83    5500000000.0    10.98
84    5600000000.0    11.01
85    5700000000.0    11.01
86    5800000000.0    11.01
87    5900000000.0    11.01
88    6000000000.0    11.05
89    6100000000.0    11.05
90    6200000000.0    11.05
91    6300000000.0    11.05
92    6400000000.0    11.05
93    6500000000.0    11.05
94    6600000000.0    11.11
95    6700000000.0    11.15
96    6800000000.0    11.15
97    6900000000.0    11.15
98    7000000000.0    11.15
99    7100000000.0    11.12
100    7200000000.0    11.12
101    7300000000.0    11.15
102    7400000000.0    11.15
103    7500000000.0    11.15
