No. freqHz  powerdB
0    50000000.0    10.00
1    100000000.0    10.00
2    150000000.0    10.04
3    200000000.0    10.04
4    250000000.0    10.08
5    300000000.0    10.08
6    350000000.0    10.11
7    400000000.0    10.11
8    450000000.0    10.11
9    500000000.0    10.14
10    550000000.0    10.14
11    600000000.0    10.14
12    650000000.0    10.21
13    700000000.0    10.21
14    750000000.0    10.32
15    800000000.0    10.24
16    850000000.0    10.41
17    900000000.0    10.24
18    950000000.0    10.31
19    1000000000.0    10.52
20    1050000000.0    10.52
21    1100000000.0    10.38
22    1150000000.0    10.44
23    1200000000.0    10.64
24    1250000000.0    10.45
25    1300000000.0    10.50
26    1350000000.0    10.50
27    1366250000.0    10.44
28    1366250000.1    10.44
29    1416250000.0    10.60
30    1466250000.0    10.53
31    1516250000.0    10.53
32    1566250000.0    10.48
33    1616250000.0    10.48
34    1666250000.0    10.75
35    1716250000.0    10.23
36    1766250000.0    10.40
37    1816250000.0    10.64
38    1866250000.0    10.41
39    1916250000.0    10.25
40    1966250000.0    10.35
41    2016250000.0    10.82
42    2066250000.0    10.86
43    2116250000.0    10.86
44    2166250000.0    10.86
45    2216250000.0    10.86
46    2266250000.0    10.86
47    2316250000.0    10.90
48    2366250000.0    10.90
49    2416250000.0    10.90
50    2466250000.0    10.90
51    2516250000.0    10.90
52    2566250000.0    10.90
53    2600000000.0    10.90
54    2600000000.1    10.90
55    2650000000.0    10.90
56    2700000000.0    10.90
57    2750000000.0    10.93
58    2800000000.0    10.93
59    2850000000.0    10.93
60    2900000000.0    10.93
61    2950000000.0    10.93
62    3000000000.0    10.93
63    3050000000.0    10.93
64    3100000000.0    10.93
65    3150000000.0    10.93
66    3200000000.0    10.93
67    3250000000.0    10.61
68    3300000000.0    10.61
69    3350000000.0    10.61
70    3400000000.0    10.61
71    3450000000.0    10.61
72    3500000000.0    10.61
73    3550000000.0    10.61
74    3600000000.0    10.61
75    3650000000.0    10.65
76    3700000000.0    10.65
77    3750000000.0    10.65
78    3800000000.0    10.65
79    3850000000.0    10.65
80    3900000000.0    10.65
81    3950000000.0    10.65
82    4000000000.0    10.68
83    4133750000.0    10.68
84    4133750000.1    10.68
85    4183750000.0    10.68
86    4233750000.0    10.71
87    4283750000.0    10.71
88    4333750000.0    10.71
89    4383750000.0    10.71
90    4433750000.0    10.71
91    4483750000.0    10.71
92    4533750000.0    10.71
93    4583750000.0    10.77
94    4633750000.0    10.77
95    4683750000.0    10.77
96    4733750000.0    10.77
97    4783750000.0    10.77
98    4833750000.0    10.77
99    4883750000.0    10.77
100    4933750000.0    10.77
101    4983750000.0    10.77
102    5033750000.0    10.77
103    5083750000.0    10.77
104    5133750000.0    10.80
105    5183750000.0    10.80
106    5233750000.0    10.80
107    5283750000.0    10.80
108    5333750000.0    10.84
109    5383750000.0    10.84
110    5433750000.0    10.84
111    5483750000.0    10.84
112    5533750000.0    10.84
113    5583750000.0    10.84
114    5633750000.0    10.84
115    5683750000.0    10.84
116    5733750000.0    10.84
117    5783750000.0    10.84
118    5833750000.0    10.84
119    5883750000.0    10.84
120    5933750000.0    10.87
121    5983750000.0    10.87
122    6033750000.0    10.87
123    6083750000.0    10.87
124    6133750000.0    10.87
125    6183750000.0    10.87
126    6233750000.0    10.87
127    6283750000.0    10.87
128    6333750000.0    10.87
129    6383750000.0    10.87
130    6433750000.0    10.87
131    6483750000.0    10.87
132    6533750000.0    10.87
133    6583750000.0    10.87
134    6633750000.0    10.87
135    6683750000.0    10.94
136    6733750000.0    10.94
137    6783750000.0    10.94
138    6833750000.0    10.94
139    6883750000.0    10.94
140    6933750000.0    10.94
141    6983750000.0    10.94
142    7033750000.0    10.94
143    7083750000.0    10.94
144    7133750000.0    10.94
145    7183750000.0    10.94
