No. freqHz  powerdB
0    50000000.0    10.00
1    100000000.0    10.04
2    150000000.0    10.04
3    200000000.0    10.08
4    250000000.0    10.08
5    300000000.0    10.12
6    350000000.0    10.15
7    400000000.0    10.15
8    450000000.0    10.15
9    500000000.0    10.21
10    550000000.0    10.21
11    600000000.0    10.21
12    650000000.0    10.30
13    700000000.0    10.26
14    750000000.0    10.40
15    800000000.0    10.33
16    850000000.0    10.46
17    900000000.0    10.32
18    950000000.0    10.39
19    1000000000.0    10.61
20    1050000000.0    10.61
21    1100000000.0    10.43
22    1150000000.0    10.51
23    1200000000.0    10.72
24    1250000000.0    10.51
25    1300000000.0    10.55
26    1350000000.0    10.55
27    1366250000.0    10.52
28    1366250000.1    10.52
29    1416250000.0    10.67
30    1466250000.0    10.58
31    1516250000.0    10.58
32    1566250000.0    10.54
33    1616250000.0    10.54
34    1666250000.0    10.79
35    1716250000.0    10.26
36    1766250000.0    10.44
37    1816250000.0    10.67
38    1866250000.0    10.45
39    1916250000.0    10.28
40    1966250000.0    10.38
41    2016250000.0    11.00
42    2066250000.0    11.04
43    2116250000.0    11.04
44    2166250000.0    11.04
45    2216250000.0    11.04
46    2266250000.0    11.08
47    2316250000.0    11.08
48    2366250000.0    11.08
49    2416250000.0    11.08
50    2466250000.0    11.08
51    2516250000.0    11.08
52    2566250000.0    11.08
53    2600000000.0    11.12
54    2600000000.1    11.12
55    2650000000.0    11.12
56    2700000000.0    11.12
57    2750000000.0    11.12
58    2800000000.0    11.12
59    2850000000.0    11.12
60    2900000000.0    11.12
61    2950000000.0    11.15
62    3000000000.0    11.15
63    3050000000.0    11.15
64    3100000000.0    11.15
65    3150000000.0    11.15
66    3200000000.0    11.15
67    3250000000.0    10.81
68    3300000000.0    10.81
69    3350000000.0    10.81
70    3400000000.0    10.81
71    3450000000.0    10.81
72    3500000000.0    10.81
73    3550000000.0    10.81
74    3600000000.0    10.81
75    3650000000.0    10.84
76    3700000000.0    10.84
77    3750000000.0    10.84
78    3800000000.0    10.84
79    3850000000.0    10.84
80    3900000000.0    10.88
81    3950000000.0    10.88
82    4000000000.0    10.88
83    4050000000.0    10.88
84    4100000000.0    10.88
85    4150000000.0    10.88
86    4200000000.0    10.91
87    4250000000.0    10.91
88    4300000000.0    10.91
89    4350000000.0    10.91
90    4400000000.0    10.91
91    4450000000.0    10.91
92    4500000000.0    10.95
93    4550000000.0    10.95
94    4600000000.0    10.95
95    4650000000.0    10.95
96    4700000000.0    10.95
97    4750000000.0    10.95
98    4800000000.0    10.95
99    4850000000.0    10.95
100    4900000000.0    10.95
101    4950000000.0    10.95
102    5000000000.0    10.95
103    5050000000.0    10.95
104    5100000000.0    10.95
105    5150000000.0    10.99
106    5200000000.0    10.99
107    5250000000.0    10.99
108    5300000000.0    10.99
109    5350000000.0    10.99
110    5400000000.0    10.99
111    5450000000.0    11.02
112    5500000000.0    11.02
113    5550000000.0    11.02
114    5600000000.0    11.02
115    5650000000.0    11.02
116    5700000000.0    11.02
117    5750000000.0    11.02
118    5800000000.0    11.02
119    5850000000.0    11.02
120    5900000000.0    11.02
121    5950000000.0    11.02
122    6000000000.0    11.02
123    6050000000.0    11.02
124    6100000000.0    11.02
125    6150000000.0    11.02
126    6200000000.0    11.02
127    6250000000.0    11.06
128    6300000000.0    11.06
129    6350000000.0    11.06
130    6400000000.0    11.06
131    6450000000.0    11.06
132    6500000000.0    11.06
133    6550000000.0    11.06
134    6600000000.0    11.06
135    6650000000.0    11.06
136    6700000000.0    11.11
137    6750000000.0    11.11
138    6800000000.0    11.11
139    6850000000.0    11.11
140    6900000000.0    11.11
141    6950000000.0    11.11
142    7000000000.0    11.11
