No. freqHz  powerdB
0    50000000.0    10.00
1    100000000.0    10.05
2    150000000.0    10.05
3    200000000.0    10.09
4    250000000.0    10.09
5    300000000.0    10.13
6    350000000.0    10.17
7    400000000.0    10.17
8    450000000.0    10.17
9    500000000.0    10.22
10    550000000.0    10.22
11    600000000.0    10.22
12    650000000.0    10.29
13    700000000.0    10.29
14    750000000.0    10.41
15    800000000.0    10.33
16    850000000.0    10.47
17    900000000.0    10.32
18    950000000.0    10.40
19    1000000000.0    10.61
20    1050000000.0    10.61
21    1100000000.0    10.44
22    1150000000.0    10.51
23    1200000000.0    10.73
24    1250000000.0    10.50
25    1300000000.0    10.56
26    1350000000.0    10.56
27    1366250000.0    10.52
28    1366250000.1    10.52
29    1416250000.0    10.68
30    1466250000.0    10.58
31    1516250000.0    10.58
32    1566250000.0    10.54
33    1616250000.0    10.54
34    1666250000.0    10.80
35    1716250000.0    10.27
36    1766250000.0    10.44
37    1816250000.0    10.68
38    1866250000.0    10.45
39    1916250000.0    10.29
40    1966250000.0    10.39
41    2016250000.0    10.97
42    2066250000.0    11.00
43    2116250000.0    11.00
44    2166250000.0    11.00
45    2216250000.0    11.00
46    2266250000.0    11.04
47    2316250000.0    11.04
48    2366250000.0    11.04
49    2416250000.0    11.04
50    2466250000.0    11.04
51    2516250000.0    11.08
52    2566250000.0    11.08
53    2616250000.0    11.08
54    2666250000.0    11.08
55    2716250000.0    11.08
56    2766250000.0    11.08
57    2800000000.0    11.08
58    2800000000.1    11.08
59    2850000000.0    11.08
60    2900000000.0    11.08
61    2950000000.0    11.11
62    3000000000.0    11.11
63    3050000000.0    11.11
64    3100000000.0    11.11
65    3150000000.0    11.11
66    3200000000.0    11.11
67    3250000000.0    10.77
68    3300000000.0    10.77
69    3350000000.0    10.77
70    3400000000.0    10.77
71    3450000000.0    10.77
72    3500000000.0    10.77
73    3550000000.0    10.81
74    3600000000.0    10.81
75    3650000000.0    10.81
76    3700000000.0    10.81
77    3750000000.0    10.81
78    3800000000.0    10.81
79    3850000000.0    10.81
80    3900000000.0    10.85
81    3950000000.0    10.85
82    4000000000.0    10.85
83    4050000000.0    10.85
84    4100000000.0    10.85
85    4150000000.0    10.85
86    4200000000.0    10.85
87    4250000000.0    10.90
88    4300000000.0    10.90
89    4350000000.0    10.86
90    4400000000.0    10.86
91    4450000000.0    10.86
92    4500000000.0    10.92
93    4550000000.0    10.92
94    4600000000.0    10.92
95    4650000000.0    10.92
96    4700000000.0    10.92
97    4750000000.0    10.92
98    4800000000.0    10.92
99    4850000000.0    10.92
100    4900000000.0    10.92
101    4950000000.0    10.92
102    5000000000.0    10.92
103    5050000000.0    10.92
104    5100000000.0    10.92
105    5150000000.0    10.96
106    5200000000.0    10.96
107    5250000000.0    10.96
108    5300000000.0    10.96
109    5350000000.0    10.96
110    5400000000.0    10.96
111    5450000000.0    10.99
112    5500000000.0    10.99
113    5550000000.0    10.99
114    5600000000.0    10.99
115    5650000000.0    10.99
116    5700000000.0    10.99
117    5750000000.0    10.99
118    5800000000.0    10.99
119    5850000000.0    10.99
120    5900000000.0    10.99
121    5950000000.0    10.99
122    6000000000.0    10.99
123    6050000000.0    10.99
124    6100000000.0    10.99
125    6150000000.0    10.99
126    6200000000.0    10.99
127    6250000000.0    11.03
128    6300000000.0    11.03
129    6350000000.0    11.03
130    6400000000.0    11.03
131    6450000000.0    11.03
132    6500000000.0    11.03
133    6550000000.0    11.03
134    6600000000.0    11.03
135    6650000000.0    11.03
136    6700000000.0    11.08
137    6750000000.0    11.08
138    6800000000.0    11.08
139    6850000000.0    11.08
140    6900000000.0    11.08
141    6950000000.0    11.08
142    7000000000.0    11.08
143    7050000000.0    11.08
144    7100000000.0    11.08
145    7150000000.0    11.08
146    7200000000.0    11.03
147    7200000000.1    11.03
148    7250000000.0    11.03
149    7300000000.0    11.10
150    7350000000.0    11.10
151    7400000000.0    11.10
152    7450000000.0    11.10
153    7500000000.0    11.10
154    7550000000.0    11.10
155    7600000000.0    11.10
156    7650000000.0    11.10
157    7700000000.0    11.10
158    7750000000.0    11.14
159    7800000000.0    11.14
160    7850000000.0    11.14
161    7900000000.0    11.14
162    7950000000.0    11.14
163    8000000000.0    11.14
164    8050000000.0    11.14
165    8100000000.0    11.14
166    8150000000.0    11.14
167    8200000000.0    11.11
168    8250000000.0    11.11
169    8300000000.0    11.11
170    8350000000.0    11.11
171    8400000000.0    11.14
172    8450000000.0    11.14
173    8500000000.0    11.14
174    8550000000.0    11.14
175    8600000000.0    11.14
176    8650000000.0    11.14
