61
startfreqHz     stopfreqHz     stepfreqHz
50000000.0      1350000000.0   50000000.0
1350000000.0    1366250000.0   16250000.0
1366250000.0    1366250000.1   0.1
1366250000.1    1366250000.1   0.0
1416250000      2566250000.0   50000000.0
2566250000.0    2600000000.0   33750000.0
2600000000.0    2600000000.1   0.1
2600000000.1    2600000000.1   0.0
2650000000.0    4000000000.0   50000000.0
4000000000.0    4133750000.0   133750000.0
4133750000.0    4133750000.1   0.1
4133750000.1    4133750000.1   0.0
4183750000.0    7483750000.0   50000000.0
7483750000.0    7500000000.0   16250000.0
7500000000.0    7500000000.1   0.1
7500000000.1    7500000000.1   0.0
7550000000.0    9500000000.0   50000000.0
9500000000.0    9500000000.1   0.1
9500000000.1    9500000000.1   0.0
9550000000.0    11500000000.0  50000000.0
11500000000.0   11500000000.1  0.1
11500000000.1   11500000000.1  0.0
11550000000.0   13500000000.0  50000000.0
13500000000.0   13500000000.1  0.1
13500000000.1   13500000000.1  0.0
13550000000.0   15500000000.0  50000000.0
15500000000.0   15500000000.1  0.1
15500000000.1   15500000000.1  0.0
15550000000.0   16300000000.0  50000000.0
16300000000.0   16300000000.1  0.1 
16300000000.1   16300000000.1  0.0
16350000000.0   17500000000.0  50000000.0
17500000000.0   17500000000.1  0.1
17500000000.1   17500000000.1  0.0
17550000000.0   20000000000.0  50000000.0
20000000000.0   20000000000.1  0.1 
20000000000.1   20000000000.1  0.0
20050000000.0   22400000000.0  50000000.0
22400000000.0   22420000000.0  20000000.0
22420000000.0   22420000000.1  0.1
22420000000.1   22420000000.1  0.0
22470000000.0   25520000000.0  50000000.0
25520000000.0   25550000000.0  30000000.0
25550000000.0   25550000000.1  0.1
25550000000.1   25550000000.1  0.0
25600000000.0   28700000000.0  50000000.0
28700000000.0   28700000000.1  0.1
28700000000.1   28700000000.1  0.0
28750000000.0   31450000000.0  50000000.0
31450000000.0   31450000000.1  0.1
31450000000.1   31450000000.1  0.0
31500000000.0   34500000000.0  50000000.0
34500000000.0   34500000000.1  0.1
34500000000.1   34500000000.1  0.0
34550000000.0   37250000000.0  50000000.0
37250000000.0   37250000000.1  0.1
37250000000.1   37250000000.1  0.0
37300000000.0   39700000000.0  50000000.0
39700000000.0   39700000000.1  0.1
39700000000.1   39700000000.1  0.0
39750000000.0   43000000000.0  50000000.0
