No. freqHz  powerdB
0    50000000.0    9.87
1    100000000.0    9.87
2    150000000.0    9.87
3    200000000.0    9.87
4    250000000.0    9.92
5    300000000.0    9.92
6    350000000.0    9.92
7    400000000.0    9.95
8    450000000.0    9.95
9    500000000.0    9.95
10    550000000.0    9.95
11    600000000.0    9.98
12    650000000.0    9.98
13    700000000.0    9.98
14    750000000.0    10.02
15    800000000.0    10.02
16    850000000.0    10.02
17    900000000.0    10.02
18    950000000.0    10.02
19    1000000000.0    10.02
20    1050000000.0    10.05
21    1100000000.0    10.05
22    1150000000.0    10.05
23    1200000000.0    10.05
24    1250000000.0    10.16
25    1300000000.0    10.07
26    1350000000.0    10.07
27    1366250000.0    10.07
28    1366250000.1    10.07
29    1416250000.0    10.07
30    1466250000.0    10.07
31    1516250000.0    10.07
32    1566250000.0    10.02
33    1616250000.0    10.02
34    1666250000.0    9.99
35    1716250000.0    9.99
36    1766250000.0    9.99
37    1816250000.0    10.06
38    1866250000.0    10.06
39    1916250000.0    10.06
40    1966250000.0    10.06
41    2016250000.0    10.21
42    2066250000.0    10.21
43    2116250000.0    10.21
44    2166250000.0    10.21
45    2216250000.0    10.21
46    2266250000.0    10.21
47    2316250000.0    10.21
48    2366250000.0    10.25
49    2416250000.0    10.25
50    2466250000.0    10.25
51    2516250000.0    10.25
52    2566250000.0    10.25
53    2600000000.0    10.25
54    2600000000.1    10.25
55    2650000000.0    10.21
56    2700000000.0    10.21
57    2750000000.0    10.25
58    2800000000.0    10.25
59    2850000000.0    10.25
60    2900000000.0    10.25
61    2950000000.0    10.25
62    3000000000.0    10.25
63    3050000000.0    10.25
64    3100000000.0    10.25
65    3150000000.0    10.25
66    3200000000.0    10.25
67    3250000000.0    10.38
68    3300000000.0    10.38
69    3350000000.0    10.38
70    3400000000.0    10.38
71    3450000000.0    10.38
72    3500000000.0    10.38
73    3550000000.0    10.38
74    3600000000.0    10.38
75    3650000000.0    10.38
76    3700000000.0    10.43
77    3750000000.0    10.43
78    3800000000.0    10.43
79    3850000000.0    10.43
80    3900000000.0    10.43
81    3950000000.0    10.43
82    4000000000.0    10.43
83    4133750000.0    10.43
84    4133750000.1    10.43
85    4183750000.0    10.43
86    4233750000.0    10.43
87    4283750000.0    10.43
88    4333750000.0    10.47
89    4383750000.0    10.47
90    4433750000.0    10.47
91    4483750000.0    10.47
92    4533750000.0    10.47
93    4583750000.0    10.47
94    4633750000.0    10.47
95    4683750000.0    10.47
96    4733750000.0    10.47
97    4783750000.0    10.47
98    4833750000.0    10.47
99    4883750000.0    10.47
100    4933750000.0    10.47
101    4983750000.0    10.47
102    5033750000.0    10.52
103    5083750000.0    10.52
104    5133750000.0    10.52
105    5183750000.0    10.47
106    5233750000.0    10.51
107    5283750000.0    10.51
108    5333750000.0    10.51
109    5383750000.0    10.51
110    5433750000.0    10.54
111    5483750000.0    10.54
112    5533750000.0    10.54
113    5583750000.0    10.54
114    5633750000.0    10.54
115    5683750000.0    10.54
116    5733750000.0    10.54
117    5783750000.0    10.54
118    5833750000.0    10.54
119    5883750000.0    10.54
120    5933750000.0    10.54
121    5983750000.0    10.54
122    6033750000.0    10.54
123    6083750000.0    10.54
124    6133750000.0    10.54
125    6183750000.0    10.58
126    6233750000.0    10.58
127    6283750000.0    10.58
128    6333750000.0    10.58
129    6383750000.0    10.58
130    6433750000.0    10.58
131    6483750000.0    10.58
132    6533750000.0    10.58
