No. freqHz  powerdB
0    50000000.0    10.04
1    100000000.0    10.07
2    150000000.0    10.11
3    200000000.0    10.15
4    250000000.0    10.18
5    300000000.0    10.22
6    350000000.0    10.22
7    400000000.0    10.26
8    450000000.0    10.26
9    500000000.0    10.33
10    550000000.0    10.33
11    600000000.0    10.36
12    650000000.0    10.36
13    700000000.0    10.40
14    750000000.0    10.40
15    800000000.0    10.40
16    850000000.0    10.46
17    900000000.0    10.46
18    950000000.0    10.46
19    1000000000.0    10.50
20    1050000000.0    10.50
21    1100000000.0    10.56
22    1150000000.0    10.56
23    1200000000.0    10.56
24    1250000000.0    10.61
25    1300000000.0    10.57
26    1350000000.0    10.57
27    1366250000.0    10.57
28    1366250000.1    10.57
29    1416250000.0    10.60
30    1466250000.0    10.60
31    1516250000.0    10.60
32    1566250000.0    10.56
33    1616250000.0    10.56
34    1666250000.0    10.56
35    1716250000.0    10.56
36    1766250000.0    10.60
37    1816250000.0    10.60
38    1866250000.0    10.60
39    1916250000.0    10.60
40    1966250000.0    10.60
41    2016250000.0    10.40
42    2066250000.0    10.40
43    2116250000.0    10.40
44    2166250000.0    10.44
45    2216250000.0    10.44
46    2266250000.0    10.44
47    2316250000.0    10.44
48    2366250000.0    10.44
49    2416250000.0    10.44
50    2466250000.0    10.48
51    2516250000.0    10.48
52    2566250000.0    10.48
53    2616250000.0    10.48
54    2666250000.0    10.48
55    2716250000.0    10.48
56    2766250000.0    10.48
57    2800000000.0    10.51
58    2800000000.1    10.51
59    2850000000.0    10.51
60    2900000000.0    10.51
61    2950000000.0    10.51
62    3000000000.0    10.51
63    3050000000.0    10.54
64    3100000000.0    10.54
65    3150000000.0    10.54
66    3200000000.0    10.54
67    3250000000.0    10.69
68    3300000000.0    10.69
69    3350000000.0    10.69
70    3400000000.0    10.69
71    3450000000.0    10.69
72    3500000000.0    10.69
73    3550000000.0    10.69
74    3600000000.0    10.73
75    3650000000.0    10.73
76    3700000000.0    10.73
77    3750000000.0    10.73
78    3800000000.0    10.73
79    3850000000.0    10.73
80    3900000000.0    10.73
81    3950000000.0    10.73
82    4000000000.0    10.77
83    4050000000.0    10.77
84    4100000000.0    10.77
85    4150000000.0    10.77
86    4200000000.0    10.77
87    4250000000.0    10.77
88    4300000000.0    10.77
89    4350000000.0    10.82
90    4400000000.0    10.82
91    4450000000.0    10.82
92    4500000000.0    10.82
93    4550000000.0    10.82
94    4600000000.0    10.82
95    4650000000.0    10.82
96    4700000000.0    10.82
97    4750000000.0    10.82
98    4800000000.0    10.82
99    4850000000.0    10.82
100    4900000000.0    10.85
101    4950000000.0    10.85
102    5000000000.0    10.85
103    5050000000.0    10.85
104    5100000000.0    10.85
105    5150000000.0    10.89
106    5200000000.0    10.89
107    5250000000.0    10.89
108    5300000000.0    10.89
109    5350000000.0    10.93
110    5400000000.0    10.93
111    5450000000.0    10.93
112    5500000000.0    10.93
113    5550000000.0    10.93
114    5600000000.0    10.93
115    5650000000.0    10.93
116    5700000000.0    10.93
117    5750000000.0    10.93
118    5800000000.0    10.93
119    5850000000.0    10.93
120    5900000000.0    10.93
121    5950000000.0    10.93
122    6000000000.0    10.96
123    6050000000.0    10.96
124    6100000000.0    10.96
125    6150000000.0    10.96
126    6200000000.0    10.96
127    6250000000.0    10.96
128    6300000000.0    10.96
129    6350000000.0    11.00
130    6400000000.0    11.00
131    6450000000.0    11.00
132    6500000000.0    11.03
133    6550000000.0    11.03
134    6600000000.0    11.03
135    6650000000.0    11.03
136    6700000000.0    11.03
137    6750000000.0    11.03
138    6800000000.0    11.03
139    6850000000.0    11.03
140    6900000000.0    11.03
141    6950000000.0    11.06
142    7000000000.0    11.06
143    7050000000.0    11.06
144    7100000000.0    11.06
145    7150000000.0    11.06
146    7200000000.0    11.06
147    7200000000.1    11.06
148    7250000000.0    11.06
149    7300000000.0    11.06
150    7350000000.0    11.06
151    7400000000.0    11.06
152    7450000000.0    11.06
153    7500000000.0    11.06
154    7550000000.0    11.06
155    7600000000.0    11.06
156    7650000000.0    11.06
157    7700000000.0    11.06
158    7750000000.0    11.06
159    7800000000.0    11.11
160    7850000000.0    11.11
161    7900000000.0    11.11
162    7950000000.0    11.11
163    8000000000.0    11.11
164    8050000000.0    11.11
165    8100000000.0    11.11
166    8150000000.0    11.11
167    8200000000.0    11.15
168    8250000000.0    11.11
169    8300000000.0    11.11
170    8350000000.0    11.11
